time obj_dir/Vfhe_alu_top 
ntt_sequence start
load set start
load root start
load data start
load start
bit_rev start
ntt start
a_out 2e8f54b42cf615ce, b_out 32ea83aca90d760a
a_out 364db54e3bc14d2d, b_out 09b24ab1c438b2cd
a_out 2e78308fc4710a4a, b_out 1187cf703b88f5b0
a_out 25e84b2f3d3a7594, b_out 35b93983cd0db504
a_out 269cb1cd1af765ce, b_out 3dc1c97fdab46f9e
a_out 196ff13951e4d377, b_out 2c5a2c5525391963
a_out 096693f0df9620dc, b_out 30cf4e80a93ff24e
a_out 1179d860d6050bdc, b_out 2e86279f29f4f422
a_out 052a7552ed16e98b, b_out 1ad58aad12e6167b
a_out 12f3b0c1ac0b97bc, b_out 2d0c4f3e53ee6846
a_out 1179d860d6050bde, b_out 2e86279f29f4f424
a_out 396c398c1939f115, b_out 2519ee1310b68311
a_out 38c5372a35d0a8f8, b_out 28b4a136a032e2e6
a_out 026aa513fac9d0fb, b_out 3f0f334cdb36bae5
a_out 36c0aa32e895576a, b_out 07c57d6c415e1cba
a_out 2f6b88f6a25c9266, b_out 2de09387f2a5c1a8
a_out 28572e56245c73e7, b_out 3d5065ecf2ae4fd3
a_out 09ba62f6e19a573b, b_out 232b14528c583e25
a_out 1e97f110086fd74d, b_out 318ee6e4dd847bab
a_out 0f4313cf94fb3a18, b_out 10bcec306b01c5f6
a_out 00bcec306b0345f0, b_out 1f4313cf94f9ba14
